area_code,area,item_code,item,element,year,unit,value,_source,_domain
'388,Jamaica,2769,"Aquatic Animals, Others",Food supply quantity (kg/capita/yr),2015,kg/cap,0.04,bulk,FBS_BULK
'388,Jamaica,2769,"Aquatic Animals, Others",Food supply quantity (kg/capita/yr),2016,kg/cap,0.08,bulk,FBS_BULK
'388,Jamaica,2769,"Aquatic Animals, Others",Food supply quantity (kg/capita/yr),2017,kg/cap,0.1,bulk,FBS_BULK
'388,Jamaica,2769,"Aquatic Animals, Others",Food supply quantity (kg/capita/yr),2018,kg/cap,0.08,bulk,FBS_BULK
'388,Jamaica,2769,"Aquatic Animals, Others",Food supply quantity (kg/capita/yr),2019,kg/cap,0.05,bulk,FBS_BULK
'388,Jamaica,2769,"Aquatic Animals, Others",Food supply quantity (kg/capita/yr),2020,kg/cap,0.05,bulk,FBS_BULK
'388,Jamaica,2769,"Aquatic Animals, Others",Food supply quantity (kg/capita/yr),2021,kg/cap,0.05,bulk,FBS_BULK
'388,Jamaica,2769,"Aquatic Animals, Others",Food supply quantity (kg/capita/yr),2022,kg/cap,0.05,bulk,FBS_BULK
'388,Jamaica,2615,Bananas,Food supply (kcal/capita/day),2010,kcal/cap/d,31.44,bulk,FBS_BULK
'388,Jamaica,2615,Bananas,Food supply (kcal/capita/day),2011,kcal/cap/d,27.26,bulk,FBS_BULK
'388,Jamaica,2615,Bananas,Food supply (kcal/capita/day),2012,kcal/cap/d,27.53,bulk,FBS_BULK
'388,Jamaica,2615,Bananas,Food supply (kcal/capita/day),2013,kcal/cap/d,21.47,bulk,FBS_BULK
'388,Jamaica,2615,Bananas,Food supply (kcal/capita/day),2014,kcal/cap/d,29.7,bulk,FBS_BULK
'388,Jamaica,2615,Bananas,Food supply (kcal/capita/day),2015,kcal/cap/d,31.45,bulk,FBS_BULK
'388,Jamaica,2615,Bananas,Food supply (kcal/capita/day),2016,kcal/cap/d,33.59,bulk,FBS_BULK
'388,Jamaica,2615,Bananas,Food supply (kcal/capita/day),2017,kcal/cap/d,37.01,bulk,FBS_BULK
'388,Jamaica,2615,Bananas,Food supply (kcal/capita/day),2018,kcal/cap/d,36.15,bulk,FBS_BULK
'388,Jamaica,2615,Bananas,Food supply (kcal/capita/day),2019,kcal/cap/d,34.47,bulk,FBS_BULK
'388,Jamaica,2615,Bananas,Food supply (kcal/capita/day),2020,kcal/cap/d,34.03,bulk,FBS_BULK
'388,Jamaica,2615,Bananas,Food supply (kcal/capita/day),2021,kcal/cap/d,35.27,bulk,FBS_BULK
'388,Jamaica,2615,Bananas,Food supply (kcal/capita/day),2022,kcal/cap/d,39.31,bulk,FBS_BULK
'388,Jamaica,2615,Bananas,Food supply quantity (kg/capita/yr),2010,kg/cap,17.41,bulk,FBS_BULK
'388,Jamaica,2615,Bananas,Food supply quantity (kg/capita/yr),2011,kg/cap,15.1,bulk,FBS_BULK
'388,Jamaica,2615,Bananas,Food supply quantity (kg/capita/yr),2012,kg/cap,15.24,bulk,FBS_BULK
'388,Jamaica,2615,Bananas,Food supply quantity (kg/capita/yr),2013,kg/cap,11.89,bulk,FBS_BULK
'388,Jamaica,2615,Bananas,Food supply quantity (kg/capita/yr),2014,kg/cap,16.44,bulk,FBS_BULK
'388,Jamaica,2615,Bananas,Food supply quantity (kg/capita/yr),2015,kg/cap,17.41,bulk,FBS_BULK
'388,Jamaica,2615,Bananas,Food supply quantity (kg/capita/yr),2016,kg/cap,18.6,bulk,FBS_BULK
'388,Jamaica,2615,Bananas,Food supply quantity (kg/capita/yr),2017,kg/cap,20.49,bulk,FBS_BULK
'388,Jamaica,2615,Bananas,Food supply quantity (kg/capita/yr),2018,kg/cap,20.01,bulk,FBS_BULK
'388,Jamaica,2615,Bananas,Food supply quantity (kg/capita/yr),2019,kg/cap,19.09,bulk,FBS_BULK
'388,Jamaica,2615,Bananas,Food supply quantity (kg/capita/yr),2020,kg/cap,18.84,bulk,FBS_BULK
'388,Jamaica,2615,Bananas,Food supply quantity (kg/capita/yr),2021,kg/cap,19.53,bulk,FBS_BULK
'388,Jamaica,2615,Bananas,Food supply quantity (kg/capita/yr),2022,kg/cap,21.76,bulk,FBS_BULK
'388,Jamaica,2513,Barley and products,Food supply (kcal/capita/day),2010,kcal/cap/d,3.7,bulk,FBS_BULK
'388,Jamaica,2513,Barley and products,Food supply (kcal/capita/day),2011,kcal/cap/d,0.42,bulk,FBS_BULK
'388,Jamaica,2513,Barley and products,Food supply (kcal/capita/day),2012,kcal/cap/d,2.8,bulk,FBS_BULK
'388,Jamaica,2513,Barley and products,Food supply (kcal/capita/day),2013,kcal/cap/d,1.11,bulk,FBS_BULK
'388,Jamaica,2513,Barley and products,Food supply (kcal/capita/day),2014,kcal/cap/d,1.46,bulk,FBS_BULK
'388,Jamaica,2513,Barley and products,Food supply (kcal/capita/day),2015,kcal/cap/d,1.02,bulk,FBS_BULK
'388,Jamaica,2513,Barley and products,Food supply (kcal/capita/day),2016,kcal/cap/d,0.35,bulk,FBS_BULK
'388,Jamaica,2513,Barley and products,Food supply (kcal/capita/day),2017,kcal/cap/d,0.33,bulk,FBS_BULK
'388,Jamaica,2513,Barley and products,Food supply (kcal/capita/day),2018,kcal/cap/d,0.21,bulk,FBS_BULK
'388,Jamaica,2513,Barley and products,Food supply (kcal/capita/day),2019,kcal/cap/d,0.33,bulk,FBS_BULK
'388,Jamaica,2513,Barley and products,Food supply (kcal/capita/day),2020,kcal/cap/d,0.23,bulk,FBS_BULK
'388,Jamaica,2513,Barley and products,Food supply (kcal/capita/day),2021,kcal/cap/d,0.24,bulk,FBS_BULK
'388,Jamaica,2513,Barley and products,Food supply (kcal/capita/day),2022,kcal/cap/d,0.15,bulk,FBS_BULK
'388,Jamaica,2513,Barley and products,Food supply quantity (kg/capita/yr),2010,kg/cap,0.55,bulk,FBS_BULK
'388,Jamaica,2513,Barley and products,Food supply quantity (kg/capita/yr),2011,kg/cap,0.06,bulk,FBS_BULK
'388,Jamaica,2513,Barley and products,Food supply quantity (kg/capita/yr),2012,kg/cap,0.41,bulk,FBS_BULK
'388,Jamaica,2513,Barley and products,Food supply quantity (kg/capita/yr),2013,kg/cap,0.16,bulk,FBS_BULK
'388,Jamaica,2513,Barley and products,Food supply quantity (kg/capita/yr),2014,kg/cap,0.22,bulk,FBS_BULK
'388,Jamaica,2513,Barley and products,Food supply quantity (kg/capita/yr),2015,kg/cap,0.15,bulk,FBS_BULK
'388,Jamaica,2513,Barley and products,Food supply quantity (kg/capita/yr),2016,kg/cap,0.05,bulk,FBS_BULK
'388,Jamaica,2513,Barley and products,Food supply quantity (kg/capita/yr),2017,kg/cap,0.05,bulk,FBS_BULK
'388,Jamaica,2513,Barley and products,Food supply quantity (kg/capita/yr),2018,kg/cap,0.03,bulk,FBS_BULK
'388,Jamaica,2513,Barley and products,Food supply quantity (kg/capita/yr),2019,kg/cap,0.05,bulk,FBS_BULK
'388,Jamaica,2513,Barley and products,Food supply quantity (kg/capita/yr),2020,kg/cap,0.03,bulk,FBS_BULK
'388,Jamaica,2513,Barley and products,Food supply quantity (kg/capita/yr),2021,kg/cap,0.04,bulk,FBS_BULK
'388,Jamaica,2513,Barley and products,Food supply quantity (kg/capita/yr),2022,kg/cap,0.02,bulk,FBS_BULK
'388,Jamaica,2546,Beans,Food supply (kcal/capita/day),2010,kcal/cap/d,21.96,bulk,FBS_BULK
'388,Jamaica,2546,Beans,Food supply (kcal/capita/day),2011,kcal/cap/d,22.01,bulk,FBS_BULK
'388,Jamaica,2546,Beans,Food supply (kcal/capita/day),2012,kcal/cap/d,22.0,bulk,FBS_BULK
'388,Jamaica,2546,Beans,Food supply (kcal/capita/day),2013,kcal/cap/d,22.02,bulk,FBS_BULK
'388,Jamaica,2546,Beans,Food supply (kcal/capita/day),2014,kcal/cap/d,22.06,bulk,FBS_BULK
'388,Jamaica,2546,Beans,Food supply (kcal/capita/day),2015,kcal/cap/d,22.11,bulk,FBS_BULK
'388,Jamaica,2546,Beans,Food supply (kcal/capita/day),2016,kcal/cap/d,22.18,bulk,FBS_BULK
'388,Jamaica,2546,Beans,Food supply (kcal/capita/day),2017,kcal/cap/d,22.25,bulk,FBS_BULK
'388,Jamaica,2546,Beans,Food supply (kcal/capita/day),2018,kcal/cap/d,22.37,bulk,FBS_BULK
