area_code,area,item_code,item,element,year,unit,value,_source,_domain
'780,Trinidad and Tobago,2928,Miscellaneous,Food supply (kcal/capita/day),2019,kcal/cap/d,13.64,bulk,FBS_BULK
'780,Trinidad and Tobago,2899,Miscellaneous,Food supply (kcal/capita/day),2019,kcal/cap/d,0.3,bulk,FBS_BULK
'780,Trinidad and Tobago,2928,Miscellaneous,Food supply (kcal/capita/day),2020,kcal/cap/d,13.46,bulk,FBS_BULK
'780,Trinidad and Tobago,2899,Miscellaneous,Food supply (kcal/capita/day),2020,kcal/cap/d,0.0,bulk,FBS_BULK
'780,Trinidad and Tobago,2928,Miscellaneous,Food supply (kcal/capita/day),2021,kcal/cap/d,12.57,bulk,FBS_BULK
'780,Trinidad and Tobago,2899,Miscellaneous,Food supply (kcal/capita/day),2021,kcal/cap/d,0.04,bulk,FBS_BULK
'780,Trinidad and Tobago,2928,Miscellaneous,Food supply (kcal/capita/day),2022,kcal/cap/d,10.59,bulk,FBS_BULK
'780,Trinidad and Tobago,2899,Miscellaneous,Food supply (kcal/capita/day),2022,kcal/cap/d,0.0,bulk,FBS_BULK
'780,Trinidad and Tobago,2928,Miscellaneous,Food supply quantity (kg/capita/yr),2010,kg/cap,1.94,bulk,FBS_BULK
'780,Trinidad and Tobago,2899,Miscellaneous,Food supply quantity (kg/capita/yr),2010,kg/cap,0.0,bulk,FBS_BULK
'780,Trinidad and Tobago,2928,Miscellaneous,Food supply quantity (kg/capita/yr),2011,kg/cap,2.29,bulk,FBS_BULK
'780,Trinidad and Tobago,2899,Miscellaneous,Food supply quantity (kg/capita/yr),2011,kg/cap,0.0,bulk,FBS_BULK
'780,Trinidad and Tobago,2928,Miscellaneous,Food supply quantity (kg/capita/yr),2012,kg/cap,2.06,bulk,FBS_BULK
'780,Trinidad and Tobago,2899,Miscellaneous,Food supply quantity (kg/capita/yr),2012,kg/cap,0.0,bulk,FBS_BULK
'780,Trinidad and Tobago,2928,Miscellaneous,Food supply quantity (kg/capita/yr),2013,kg/cap,2.07,bulk,FBS_BULK
'780,Trinidad and Tobago,2899,Miscellaneous,Food supply quantity (kg/capita/yr),2013,kg/cap,0.0,bulk,FBS_BULK
'780,Trinidad and Tobago,2928,Miscellaneous,Food supply quantity (kg/capita/yr),2014,kg/cap,1.78,bulk,FBS_BULK
'780,Trinidad and Tobago,2899,Miscellaneous,Food supply quantity (kg/capita/yr),2014,kg/cap,0.12,bulk,FBS_BULK
'780,Trinidad and Tobago,2928,Miscellaneous,Food supply quantity (kg/capita/yr),2015,kg/cap,1.72,bulk,FBS_BULK
'780,Trinidad and Tobago,2899,Miscellaneous,Food supply quantity (kg/capita/yr),2015,kg/cap,0.17,bulk,FBS_BULK
'780,Trinidad and Tobago,2928,Miscellaneous,Food supply quantity (kg/capita/yr),2016,kg/cap,1.7,bulk,FBS_BULK
